BOM ID Number,Total Cost,Part Name,Functional Description
293,$52.98 ,"24"" x 36"" x .177"" Clear Acrylic Green Edge Sheet",I purchased this and cut to a window frame size piece that separates the external environment from my apartment interior.  I cut a hole in the acrylic to accept a hose that connects to a fan on the shelf extension of a rolling cabinet. The hose interfaces with fan on one size that draws out  the  smoke generated from laser engraving and the other end of the hose is connected to the hole cut into the acrylic sheet that acts as a barrier between the outside (for  venting) and the interior of my apartment.  The laser engraver enclosure contains the smoke particulates and the fan evacuates the smoke particulates.
294,$3.73 ,"3/4"" PVC Pipe",I purchased this first set of PVC pipe to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These hangars ran horizontally down the depth of the custom enclosures. I 3D printed mounting adapters that the PVC pipes were inserted into. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
295,$46.53 ,"3/4"" side outlet 90 degree socket",I purchased this socket to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These sockets enable the hangars to be supported horizontall. I 3D printed mounting adapters that the PVC pipes were inserted into through these sockets. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
296,$2.24 ,"3/4"" PVC Pipe",I purchased this first set of PVC pipe to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These hangars ran horizontally down the depth of the custom enclosures. I 3D printed mounting adapters that the PVC pipes were inserted into. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
297,$1.67 ,"3/4"" PVC L 90 degree socket",I purchased this socket to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These sockets enable the hangars to be supported horizontall. I 3D printed mounting adapters that the PVC pipes were inserted into through these sockets. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
298,$1.82 ,"3/4"" PVC Tee socket",I purchased this socket to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These sockets enable the hangars to be supported horizontall. I 3D printed mounting adapters that the PVC pipes were inserted into through these sockets. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
299,$1.67 ,"3/4"" PVC L 90 degree socket",I purchased this socket to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These sockets enable the hangars to be supported horizontall. I 3D printed mounting adapters that the PVC pipes were inserted into through these sockets. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
300,$2.24 ,"3/4"" PVC Pipe",I purchased this first set of PVC pipe to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These hangars ran horizontally down the depth of the custom enclosures. I 3D printed mounting adapters that the PVC pipes were inserted into. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
301,$4.65 ,"3/4"" side outlet 90 degree socket",I purchased this socket to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These sockets enable the hangars to be supported horizontall. I 3D printed mounting adapters that the PVC pipes were inserted into through these sockets. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
302,$1.82 ,"3/4"" PVC Tee socket",I purchased this socket to use as part of the shaker bar assembly I designed to vibrate shellac off of the walnet ornamental ribs during the drying process. These sockets enable the hangars to be supported horizontall. I 3D printed mounting adapters that the PVC pipes were inserted into through these sockets. The hangars supported the weight of the ornamental ribs that were hung from them and transferred vibration from the electro-mechanical vibrators I extracted from the baby sleeper pillows.
303,$13.75 ,Squeegie,I purchased this to wipe the wood dust off of surfaces to help contain the accumulation of dust.
304,$8.46 ,Wood glue 8 oz,I purchased this wood glue to glue wood together and test for bond strength. Gorilla Ultimate wood glue is  designed to handle a couple of different types of material.
305,$13.76 ,Glue,I purchased this general glue to glue wood together and test for bond strength. Gorilla glue is  designed to handle a couple of different types of material.
306,$12.71 ,"Canning jar, large",I purchased this jar for storing shellac and preventing the shellac from hardening. It also doubled as the dipping container. They were not of sufficient size.
307,$10.59 ,"Canning jar, large",I purchased this jar for storing shellac and preventing the shellac from hardening. It also doubled as the dipping container. It was of sufficient size but would not allow for the dipping handle that held the ornamental rib much access.  
308,$7.94 ,Mesh basket,Multi purpose basket I use to store receipts made from in-store purchases for me to reconcile.
